number,name,address,bike_stands,available_bike_stands,available_bikes,lat,lon,temperature,relative_humidity,apparent_temperature,precipitation,rain,surface_pressure
28,UM FGPA - LENT - SODNI STOLP,Pristan 6,20,4,16,46.556731,15.64212,11.9,71,9.8,0.0,0.0,961.0
8,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,20,17,3,46.56196,15.650235,11.5,72,8.3,0.0,0.0,959.2
7,PARTIZANSKA C. - TIC,Partizanska cesta 6a,20,9,11,46.560227,15.650781,11.5,72,8.3,0.0,0.0,959.7
2,GOSPOSVETSKA C. - VRBANSKA C.,Gosposvetska cesta 20,22,11,11,46.561422,15.637118,11.8,71,9.6,0.0,0.0,959.3
5,MLADINSKA UL. - TRUBARJEVA UL.,Mladinska ulica 15,16,6,10,46.56294,15.644185,11.8,71,9.6,0.0,0.0,959.0
12,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,20,9,11,46.558534,15.654739,11.6,72,8.3,0.0,0.0,960.3
29,PETROL – LENT – VODNI STOLP,Usnjarska ulica 5,20,18,2,46.556534,15.647629,11.9,71,9.8,0.0,0.0,961.3
15,LJUBLJANSKA UL. - II. GIMNAZIJA,Ljubljanska ul. 30-25,20,15,5,46.548853,15.645591,11.5,71,8.7,0.0,0.0,959.1
26,NICEHASH - C. PROLETARSKIH BRIGAD,C. PROLETARSKIH BRIGAD 71,20,9,11,46.543986,15.629317,11.9,68,10.3,0.0,0.0,958.8
23,LJUBLJANSKA UL. - FOCHEVA,LJUBLJANSKA 41,20,8,12,46.545947,15.644015,11.5,71,8.7,0.0,0.0,959.4
27,JHMB – DVOETAŽNI MOST,Cesta XIV. divizije,20,15,5,46.554741,15.659814,11.7,72,8.5,0.0,0.0,962.6
18,LIDL - KOROŠKA C.,Koroška cesta 173,20,9,11,46.565603,15.623133,12.0,69,10.4,0.0,0.0,959.1
11,PARTIZANSKA C. - CANKARJEVA UL.,Partizanska c. 13,20,13,7,46.56056,15.652935,11.5,72,8.3,0.0,0.0,959.7
24,"VZAJEMNA, VARUH ZDRAVJA - BETNAVSKA C.",Betnavska c. 83,20,14,6,46.54199,15.63831,11.1,67,8.3,0.0,0.0,959.6
10,TELEMACH - GLAVNI TRG - STARI PERON,Glavni trg 20,20,10,10,46.557328,15.646833,11.7,67,9.4,0.0,0.0,961.1
9,NKBM - TRG LEONA ŠTUKLJA,Ulica slovenske osamosvojitve 5,20,15,5,46.558519,15.649072,11.7,67,9.4,0.0,0.0,960.5
13,PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,Partizanska cesta 46-48,20,18,2,46.561555,15.65692,10.9,70,7.5,0.0,0.0,961.4
20,EUROPARK - POBREŠKA C.,Pobreška cesta 18,21,18,3,46.554703,15.652826,11.1,70,7.6,0.0,0.0,962.7
4,STROSSMAYERJEVA UL. - TRŽNICA,Strossmayerjeva ulica 3,20,10,10,46.558498,15.64146,11.7,67,9.4,0.0,0.0,960.8
1,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,22,0,22,46.562695,15.62935,11.9,64,9.2,0.0,0.0,959.9
16,KOROŠKA C. - KOROŠKI VETER,Koroška cesta 74,20,0,20,46.559319,15.63498,11.7,67,9.4,0.0,0.0,960.8
3,GOSPOSVETSKA C. - III. GIMNAZIJA,Gosposvetska cesta 4,20,17,3,46.560761,15.64053,11.6,67,9.3,0.0,0.0,960.1
